year,state_abbr,state_name,total crimes,total crimes_per_population,population,violent_crime,violent_crime_per_pipulation,homicide,homicity_per_populaiton,rape_revised,rape_revised_per_population,robbery,robbery_per_population,aggravated_assault,,property_crime,property_crime_per_population,burglary,burglary_per_population,larceny,larceny_per_population,motor_vehicle_theft,motor_vehicle_theft_per_population,https://cde.ucr.cjis.gov/LATEST/webapp/#
2013,AL,state_name,366787,0.07587656258,4833996,20834,0.004309891858,346,0.00007157639353,2055,0.0004251141292,4645,0.0009609027397,13788,0.002852298595,161835,0.03347851343,42410,0.008773279912,108862,0.02252008483,10563,0.002185148684,
2014,AL,Alabama,351053,0.07243566425,4846411,20727,0.004276773059,276,0.00005694935902,2005,0.0004137082059,4702,0.0009702024859,13744,0.002835913009,154087,0.03179404306,39723,0.008196374596,104223,0.02150519219,10141,0.002092476267,
2015,AL,Alabama,336933,0.069415261,4853875,22957,0.004729623239,348,0.000071695295,2037,0.0004196647009,4612,0.0009501686797,15960,0.003288094564,144785,0.02982874507,35265,0.007265329247,99182,0.02043357112,10338,0.002129844712,
2016,AL,Alabama,339654,0.069879818,4860545,25878,0.005324094315,407,0.00008373546588,1915,0.0003939887399,4687,0.0009642951562,18869,0.003882074953,143259,0.0294738553,34045,0.007004358565,97498,0.02005906745,11716,0.002410429283,
2017,AL,Alabama,338486,0.06943131656,4875120,25469,0.005224281659,419,0.00008594660234,2001,0.000410451435,4233,0.0008682863191,18816,0.003859597302,143774,0.02949137662,31270,0.006414201086,99707,0.02045221451,12797,0.002624961027,
2018,AL,Alabama,328538,0.06721756187,4887681,25567,0.005230906027,383,0.00007836026942,2032,0.0004157390795,4047,0.000828000027,19105,0.003908806651,138702,0.02837787491,29101,0.005953948304,96328,0.01970832385,13273,0.002715602757,
2019,AL,Alabama,306990,0.06254934581,4907965,24769,0.005046694506,390,0.00007946266935,2119,0.0004317471702,3922,0.0007991092031,18338,0.003736375463,128726,0.0262279784,24805,0.005054029521,91225,0.01858713336,12696,0.002586815513,
2020,AL,Alabama,254966,0.05180622619,4921532,22322,0.004535579572,471,0.00009570190745,1608,0.0003267275312,2666,0.0005417012426,17577,0.00357144889,105161,0.02136753352,19660,0.003994691084,74575,0.01515280201,10926,0.002220040426,
2021,AL,Alabama,183722,0.03638170352,5049846,17590,0.003483274539,476,0.00009426030022,1369,0.000271097376,1570,0.00031090057,14175,0.002807016293,74271,0.01470757722,13584,0.002689983021,50982,0.01009575342,9705,0.001921840785,
2022,AL,Alabama,"230,690",0.04546246415,"5,074,296","22,232",0.004381297425,588,0.0001158781435,"1,661",0.0003273360482,"1,886",0.0003716771745,"18,097",0.003566406059,"93,113",0.01834993465,"14,886",0.002933608918,"67,062",0.01321602051,"11,165",0.002200305225,
2023,AL,Alabama,"214,856",0.04205879336,"5,108,468","20,635",0.004039371491,524,0.0001025747837,"1,514",0.0002963706536,"1,832",0.000358620236,"16,765",0.003281805817,"86,793",0.01699002519,"13,009",0.002546556032,"63,333",0.01239765033,"10,451",0.002045818825,
2013,AK,Alaska,52497,0.07120564144,737259,4709,0.006387171944,34,0.00004611676494,925,0.001254647281,623,0.0008450218987,3127,0.004241385999,21211,0.02877007944,2917,0.003956547156,16599,0.02251447592,1695,0.00229905637,
2014,AK,Alaska,50589,0.06863750702,737046,4684,0.006355098596,41,0.00005562746423,771,0.001046067681,629,0.0008534067073,3243,0.004399996744,20334,0.02758850872,3150,0.004273817374,15445,0.02095527281,1739,0.002359418544,
2015,AK,Alaska,53042,0.07190097993,737709,5391,0.007307759564,59,0.00007997733524,900,0.001219993249,761,0.00103157207,3671,0.004976216909,20806,0.02820353283,3511,0.004759329221,15249,0.02067075229,2046,0.00277345132,
2016,AK,Alaska,62438,0.08420249163,741522,5966,0.008045614291,52,0.00007012603807,1053,0.001420052271,850,0.001146291007,4011,0.005409144975,24876,0.03354721775,4053,0.005465785236,17766,0.02395883062,3057,0.004122601892,
2017,AK,Alaska,65082,0.0879740898,739786,6338,0.008567342448,62,0.00008380802016,1074,0.001451771188,952,0.001286858632,4250,0.005744904608,26203,0.03541970245,4167,0.00563271,17782,0.02403668088,4254,0.005750311577,
