state,year,Bodycam_Policy,kills_per_million,treatment,dem_majority,dem_governor,total crimes_per_population,violent_crime_per_population,homicide_per_population,rape_revised_per_population,robbery_per_population,property_crime_per_population,burglary_per_population,larceny_per_population,motor_vehicle_theft_per_population
AK,2013,0.0,5.43,0,0,0,0.07120564144,0.006387171944,4.611676494e-05,0.001254647281,0.0008450218987,0.02877007944,0.003956547156,0.02251447592,0.00229905637
AK,2014,0.0,2.72,0,0,0,0.06863750702,0.006355098596,5.562746423e-05,0.001046067681,0.0008534067073,0.02758850872,0.004273817374,0.02095527281,0.002359418544
AK,2015,0.0,5.42,0,0,0,0.07190097993,0.007307759564,7.997733524e-05,0.001219993249,0.00103157207,0.02820353283,0.004759329221,0.02067075229,0.00277345132
AK,2016,0.0,9.44,0,0,0,0.08420249163,0.008045614291,7.012603807e-05,0.001420052271,0.001146291007,0.03354721775,0.005465785236,0.02395883062,0.004122601892
AK,2017,0.0,10.82,0,0,0,0.0879740898,0.008567342448,8.380802016e-05,0.001451771188,0.001286858632,0.03541970245,0.00563271,0.02403668088,0.005750311577
AK,2018,0.0,10.88,0,0,0,0.08406573451,0.008916681063,6.393348741e-05,0.001648667803,0.001218817122,0.03311618619,0.00542074356,0.02225973591,0.005435706717
AK,2019,0.0,9.57,0,0,0,0.07535138215,0.008650455355,9.405632202e-05,0.001502174882,0.001125949594,0.02902523572,0.004850034692,0.02060787647,0.003567324561
AK,2020,0.0,12.28,0,0,0,0.06196745437,0.008378490012,6.701697855e-05,0.001548228974,0.0009737977291,0.02260523717,0.003795349295,0.01611689949,0.002692988383
AK,2021,0.0,10.89,0,0,0,0.05183728285,0.007590760874,6.129270399e-05,0.001590886184,0.0007355124479,0.01832788055,0.003149082925,0.01274207213,0.002436725499
AK,2022,0.0,10.91,0,0,0,0.05163151273,0.007670570338,9.542205858e-05,0.001383619849,0.0007565606073,0.01814518603,0.002739976254,0.01292559942,0.002479610351
