year,state_abbr,state_name,total crimes,population,total crimes_per_population,violent_crime,violent_crime_per_pipulation,homicide,homicity_per_populaiton,rape,rape_per_population,robbery,robbery_per_population,aggravated_assault,,property_crime,property_crime_per_population,burglary,burglary_per_population,larceny,larceny_per_population,motor_vehicle_theft,motor_vehicle_theft_per_population,gdp,median_household_income,Bodycam_Policy,kills_per_million,treatment,dem_majority,dem_governor,white population,people of color percentage (population),people of color killed by police percentage
2013,AL,Alabama,365338,4833996,0.07557681057,20834,0.004309891858,346,0.00007157639353,2055,0.0004251141292,4645,0.0009609027397,13788,0.002852298595,161835,0.03347851343,42410,0.008773279912,108862,0.02252008483,10563,0.002185148684,193981.5,42849,0,4.35,0,0,0,3437356,0.288920388,76.19047619
2014,AL,Alabama,349628,4846411,0.07214163223,20727,0.004276773059,276,0.00005694935902,2005,0.0004137082059,4702,0.0009702024859,13744,0.002835913009,154087,0.03179404306,39723,0.008196374596,104223,0.02150519219,10141,0.002092476267,197064.4,42830,0,3.72,0,0,0,3440563,0.2900802264,41.17647059
2015,AL,Alabama,335484,4853875,0.06911673663,22957,0.004729623239,348,0.000071695295,2037,0.0004196647009,4612,0.0009501686797,15960,0.003288094564,144785,0.02982874507,35265,0.007265329247,99182,0.02043357112,10338,0.002129844712,203113.3,44765,0,3.71,0,0,0,3441742,0.290929,38.88888889
2016,AL,Alabama,338274,4860545,0.06959589923,25878,0.005324094315,407,0.00008373546588,1915,0.0003939887399,4687,0.0009642951562,18869,0.003882074953,143259,0.0294738553,34045,0.007004358565,97498,0.02005906745,11716,0.002410429283,208824.3,46257,0,5.14,0,0,0,3445802,0.2910667425,28
2017,AL,Alabama,338486,4875120,0.06943131656,25469,0.005224281659,419,0.00008594660234,2001,0.000410451435,4233,0.0008682863191,18816,0.003859597302,143774,0.02949137662,31270,0.006414201086,99707,0.02045221451,12797,0.002624961027,216615.5,48123,0,5.33,0,0,0,3450537,0.2922149609,34.61538462
2018,AL,Alabama,328538,4887681,0.06721756187,25567,0.005230906027,383,0.00007836026942,2032,0.0004157390795,4047,0.000828000027,19105,0.003908806651,138702,0.02837787491,29101,0.005953948304,96328,0.01970832385,13273,0.002715602757,226263.8,49861,0,3.27,0,0,0,3457921,0.2925231823,35.71428571
2019,AL,Alabama,306990,4907965,0.06254934581,24769,0.005046694506,390,0.00007946266935,2119,0.0004317471702,3922,0.0007991092031,18338,0.003736375463,128726,0.0262279784,24805,0.005054029521,91225,0.01858713336,12696,0.002586815513,234798.2,51734,0,3.06,0,0,0,3467601,0.2934747905,69.23076923
2020,AL,Alabama,254966,4921532,0.05180622619,22322,0.004535579572,471,0.00009570190745,1608,0.0003267275312,2666,0.0005417012426,17577,0.00357144889,105161,0.02136753352,19660,0.003994691084,74575,0.01515280201,10926,0.002220040426,235325.3,52824,0,4.17,0,0,0,3555005,0.277662931,47.61904762
2021,AL,Alabama,183722,5049846,0.03638170352,17590,0.003483274539,476,0.00009426030022,1369,0.000271097376,1570,0.00031090057,14175,0.002807016293,74271,0.01470757722,13584,0.002689983021,50982,0.01009575342,9705,0.001921840785,260018.4,53913,0,5.35,0,0,0,3568898,0.2932659729,40
2022,AL,Alabama,"230,690","5,074,296",0.04546246415,"22,232",0.004381297425,588,0.0001158781435,"1,661",0.0003273360482,"1,886",0.0003716771745,"18,097",0.003566406059,"93,113",0.01834993465,"14,886",0.002933608918,"67,062",0.01321602051,"11,165",0.002200305225,284949.1,59674,0,4.93,0,0,0,3586149,0.2932716184,37.5
