state,year,Bodycam_Policy,total_kills
AK,2013,0.0,4
AK,2014,0.0,2
AK,2015,0.0,4
AK,2016,0.0,7
AK,2017,0.0,8
AK,2018,0.0,8
AK,2019,0.0,7
AK,2020,0.0,9
AK,2021,0.0,8
AK,2022,0.0,8
AK,2023,0.0,7
AK,2024,0.0,6
AL,2013,0.0,21
AL,2014,0.0,18
AL,2015,0.0,18
AL,2016,0.0,25
AL,2017,0.0,26
AL,2018,0.0,16
AL,2019,0.0,15
AL,2020,0.0,21
AL,2021,0.0,27
AL,2022,0.0,25
AL,2023,0.0,33
AL,2024,0.0,17
AR,2013,0.0,16
AR,2014,0.0,7
AR,2015,0.0,5
AR,2016,0.0,19
AR,2017,0.0,15
AR,2018,0.0,21
AR,2019,0.0,21
AR,2020,0.0,14
AR,2021,0.0,14
AR,2022,0.0,15
AR,2023,0.0,23
AR,2024,0.0,13
AZ,2013,0.0,54
AZ,2014,0.0,44
AZ,2015,0.0,43
AZ,2016,0.0,50
AZ,2017,0.0,48
AZ,2018,0.0,67
AZ,2019,0.0,37
AZ,2020,0.0,49
AZ,2021,0.0,42
AZ,2022,0.0,58
AZ,2023,0.0,56
AZ,2024,0.0,35
CA,2013,0.0,188
CA,2014,0.0,167
CA,2015,0.0,200
CA,2016,0.0,157
CA,2017,0.0,183
CA,2018,0.0,142
CA,2019,0.0,148
CA,2020,0.0,174
CA,2021,0.0,157
CA,2022,0.0,149
CA,2023,0.0,143
CA,2024,0.0,91
CO,2013,0.0,21
CO,2014,0.0,21
CO,2015,0.0,29
CO,2016,0.0,31
CO,2017,0.0,35
CO,2018,0.0,51
CO,2019,0.0,41
CO,2020,0.0,45
CO,2021,0.0,42
CO,2022,0.0,41
CO,2023,1.0,47
CO,2024,1.0,27
CT,2013,0.0,12
CT,2014,0.0,3
CT,2015,0.0,4
CT,2016,0.0,6
CT,2017,0.0,5
CT,2018,0.0,1
CT,2019,0.0,4
CT,2020,0.0,5
CT,2021,0.0,2
