state,year,Bodycam_Policy,total_kills,population,kills_per_million
AK,2013,0.0,4,737068.0,5.43
AK,2014,0.0,2,736283.0,2.72
AK,2015,0.0,4,737498.0,5.42
AK,2016,0.0,7,741456.0,9.44
AK,2017,0.0,8,739700.0,10.82
AK,2018,0.0,8,735139.0,10.88
AK,2019,0.0,7,731545.0,9.57
AK,2020,0.0,9,732964.0,12.28
AK,2021,0.0,8,734923.0,10.89
AK,2022,0.0,8,733276.0,10.91
AK,2023,0.0,7,733406.0,9.54
AL,2013,0.0,21,4830081.0,4.35
AL,2014,0.0,18,4841799.0,3.72
AL,2015,0.0,18,4852347.0,3.71
AL,2016,0.0,25,4863525.0,5.14
AL,2017,0.0,26,4874486.0,5.33
AL,2018,0.0,16,4887681.0,3.27
AL,2019,0.0,15,4903185.0,3.06
AL,2020,0.0,21,5031864.0,4.17
AL,2021,0.0,27,5050380.0,5.35
AL,2022,0.0,25,5073903.0,4.93
AL,2023,0.0,33,5108468.0,6.46
AR,2013,0.0,16,2959400.0,5.41
AR,2014,0.0,7,2967392.0,2.36
AR,2015,0.0,5,2978048.0,1.68
AR,2016,0.0,19,2989918.0,6.35
AR,2017,0.0,15,3001345.0,5.0
AR,2018,0.0,21,3009733.0,6.98
AR,2019,0.0,21,3017804.0,6.96
AR,2020,0.0,14,3014348.0,4.64
AR,2021,0.0,14,3028443.0,4.62
AR,2022,0.0,15,3046404.0,4.92
AR,2023,0.0,23,3067732.0,7.5
AZ,2013,0.0,54,6632764.0,8.14
AZ,2014,0.0,44,6730413.0,6.54
AZ,2015,0.0,43,6829676.0,6.3
AZ,2016,0.0,50,6941072.0,7.2
AZ,2017,0.0,48,7044008.0,6.81
AZ,2018,0.0,67,7158024.0,9.36
AZ,2019,0.0,37,7278717.0,5.08
AZ,2020,0.0,49,7186683.0,6.82
AZ,2021,0.0,42,7272487.0,5.78
AZ,2022,0.0,58,7365684.0,7.87
AZ,2023,0.0,56,7431344.0,7.54
CA,2013,0.0,188,38260787.0,4.91
CA,2014,0.0,167,38596972.0,4.33
CA,2015,0.0,200,38918045.0,5.14
CA,2016,0.0,157,39167117.0,4.01
CA,2017,0.0,183,39358497.0,4.65
CA,2018,0.0,142,39461588.0,3.6
CA,2019,0.0,148,39512223.0,3.75
CA,2020,0.0,174,39503200.0,4.4
CA,2021,0.0,157,39145060.0,4.01
CA,2022,0.0,149,39040616.0,3.82
CA,2023,0.0,143,38965193.0,3.67
CO,2013,0.0,21,5269035.0,3.99
CO,2014,0.0,21,5350101.0,3.93
CO,2015,0.0,29,5450623.0,5.32
CO,2016,0.0,31,5539215.0,5.6
CO,2017,0.0,35,5611885.0,6.24
CO,2018,0.0,51,5691287.0,8.96
CO,2019,0.0,41,5758736.0,7.12
CO,2020,0.0,45,5785219.0,7.78
CO,2021,0.0,42,5811596.0,7.23
CO,2022,0.0,41,5841039.0,7.02
CO,2023,1.0,47,5877610.0,8.0
CT,2013,0.0,12,3594841.0,3.34
CT,2014,0.0,3,3594524.0,0.83
CT,2015,0.0,4,3587122.0,1.12
CT,2016,0.0,6,3578141.0,1.68
CT,2017,0.0,5,3573297.0,1.4
CT,2018,0.0,1,3571520.0,0.28
CT,2019,0.0,4,3565287.0,1.12
CT,2020,0.0,5,3577586.0,1.4
CT,2021,0.0,2,3603691.0,0.55
CT,2022,1.0,2,3608706.0,0.55
CT,2023,1.0,11,3617176.0,3.04
DC,2013,0.0,7,,
DC,2014,0.0,4,,
DC,2015,0.0,6,,
DC,2016,0.0,5,,
DC,2017,0.0,2,,
DC,2018,0.0,1,,
DC,2019,0.0,1,,
DC,2020,0.0,2,,
DC,2021,0.0,7,,
DC,2022,0.0,5,,
DC,2023,0.0,4,,
DE,2013,0.0,2,923576.0,2.17
DE,2014,0.0,3,932487.0,3.22
DE,2015,0.0,4,941252.0,4.25
DE,2016,0.0,1,948921.0,1.05
DE,2017,0.0,7,956823.0,7.32
DE,2018,0.0,1,965479.0,1.04
DE,2019,0.0,2,973764.0,2.05
DE,2020,0.0,2,991862.0,2.02
DE,2021,0.0,2,1004881.0,1.99
DE,2022,0.0,2,1019459.0,1.96
DE,2023,0.0,5,1031890.0,4.85
FL,2013,0.0,89,19545621.0,4.55
FL,2014,0.0,94,19845911.0,4.74
FL,2015,0.0,71,20209042.0,3.51
FL,2016,0.0,72,20613477.0,3.49
FL,2017,0.0,67,20963613.0,3.2
FL,2018,0.0,78,21244317.0,3.67
FL,2019,0.0,70,21477737.0,3.26
FL,2020,0.0,98,21591299.0,4.54
FL,2021,0.0,54,21830708.0,2.47
FL,2022,0.0,78,22245521.0,3.51
FL,2023,0.0,95,22610726.0,4.2
GA,2013,0.0,34,9972479.0,3.41
GA,2014,0.0,28,10067278.0,2.78
GA,2015,0.0,36,10178447.0,3.54
GA,2016,0.0,30,10301890.0,2.91
GA,2017,0.0,38,10410330.0,3.65
GA,2018,0.0,54,10511131.0,5.14
GA,2019,0.0,47,10617423.0,4.43
GA,2020,0.0,45,10732390.0,4.19
GA,2021,0.0,60,10790385.0,5.56
GA,2022,0.0,65,10913150.0,5.96
GA,2023,0.0,57,11029227.0,5.17
HI,2013,0.0,4,1408243.0,2.84
HI,2014,0.0,3,1414538.0,2.12
HI,2015,0.0,3,1422052.0,2.11
HI,2016,0.0,6,1427559.0,4.2
HI,2017,0.0,4,1424393.0,2.81
HI,2018,0.0,11,1420593.0,7.74
HI,2019,0.0,6,1415872.0,4.24
HI,2020,0.0,3,1451181.0,2.07
HI,2021,0.0,6,1446745.0,4.15
HI,2022,0.0,2,1439399.0,1.39
HI,2023,0.0,6,1435138.0,4.18
IA,2013,0.0,5,3092997.0,1.62
IA,2014,0.0,9,3109350.0,2.89
IA,2015,0.0,5,3120960.0,1.6
IA,2016,0.0,5,3131371.0,1.6
IA,2017,0.0,5,3141550.0,1.59
IA,2018,0.0,10,3148618.0,3.18
IA,2019,0.0,6,3155070.0,1.9
IA,2020,0.0,8,3190904.0,2.51
IA,2021,0.0,9,3197944.0,2.81
IA,2022,0.0,6,3199693.0,1.88
IA,2023,0.0,4,3207004.0,1.25
ID,2013,0.0,4,1611206.0,2.48
ID,2014,0.0,4,1631112.0,2.45
ID,2015,0.0,7,1651059.0,4.24
ID,2016,0.0,6,1682380.0,3.57
ID,2017,0.0,6,1717715.0,3.49
ID,2018,0.0,13,1750536.0,7.43
ID,2019,0.0,8,1787065.0,4.48
ID,2020,0.0,9,1849339.0,4.87
ID,2021,0.0,14,1904537.0,7.35
ID,2022,0.0,8,1938996.0,4.13
ID,2023,0.0,14,1964726.0,7.13
IL,2013,0.0,28,12895129.0,2.17
IL,2014,0.0,32,12884493.0,2.48
IL,2015,0.0,23,12858913.0,1.79
IL,2016,0.0,32,12820527.0,2.5
IL,2017,0.0,28,12778828.0,2.19
IL,2018,0.0,24,12723071.0,1.89
IL,2019,0.0,20,12671821.0,1.58
IL,2020,0.0,17,12790357.0,1.33
IL,2021,0.0,35,12690341.0,2.76
IL,2022,0.0,28,12582515.0,2.23
IL,2023,0.0,34,12549689.0,2.71
IN,2013,0.0,22,6568713.0,3.35
IN,2014,0.0,10,6593644.0,1.52
IN,2015,0.0,20,6608422.0,3.03
IN,2016,0.0,16,6634304.0,2.41
IN,2017,0.0,20,6658078.0,3.0
