state,year,Bodycam_Policy,kills_per_million,treatment
AK,2013,0.0,5.43,0
AK,2014,0.0,2.72,0
AK,2015,0.0,5.42,0
AK,2016,0.0,9.44,0
AK,2017,0.0,10.82,0
AK,2018,0.0,10.88,0
AK,2019,0.0,9.57,0
AK,2020,0.0,12.28,0
AK,2021,0.0,10.89,0
AK,2022,0.0,10.91,0
AK,2023,0.0,9.54,0
AL,2013,0.0,4.35,0
AL,2014,0.0,3.72,0
AL,2015,0.0,3.71,0
AL,2016,0.0,5.14,0
AL,2017,0.0,5.33,0
AL,2018,0.0,3.27,0
AL,2019,0.0,3.06,0
AL,2020,0.0,4.17,0
AL,2021,0.0,5.35,0
AL,2022,0.0,4.93,0
AL,2023,0.0,6.46,0
AR,2013,0.0,5.41,0
AR,2014,0.0,2.36,0
AR,2015,0.0,1.68,0
AR,2016,0.0,6.35,0
AR,2017,0.0,5.0,0
AR,2018,0.0,6.98,0
AR,2019,0.0,6.96,0
AR,2020,0.0,4.64,0
AR,2021,0.0,4.62,0
AR,2022,0.0,4.92,0
AR,2023,0.0,7.5,0
AZ,2013,0.0,8.14,0
AZ,2014,0.0,6.54,0
AZ,2015,0.0,6.3,0
AZ,2016,0.0,7.2,0
AZ,2017,0.0,6.81,0
AZ,2018,0.0,9.36,0
AZ,2019,0.0,5.08,0
AZ,2020,0.0,6.82,0
AZ,2021,0.0,5.78,0
AZ,2022,0.0,7.87,0
AZ,2023,0.0,7.54,0
CA,2013,0.0,4.91,0
CA,2014,0.0,4.33,0
CA,2015,0.0,5.14,0
CA,2016,0.0,4.01,0
CA,2017,0.0,4.65,0
CA,2018,0.0,3.6,0
CA,2019,0.0,3.75,0
CA,2020,0.0,4.4,0
CA,2021,0.0,4.01,0
CA,2022,0.0,3.82,0
CA,2023,0.0,3.67,0
CO,2013,0.0,3.99,2
CO,2014,0.0,3.93,2
CO,2015,0.0,5.32,2
CO,2016,0.0,5.6,2
CO,2017,0.0,6.24,2
CO,2018,0.0,8.96,2
CO,2019,0.0,7.12,2
CO,2020,0.0,7.78,2
CO,2021,0.0,7.23,2
CO,2022,0.0,7.02,2
CO,2023,1.0,8.0,2
CT,2013,0.0,3.34,1
CT,2014,0.0,0.83,1
CT,2015,0.0,1.12,1
CT,2016,0.0,1.68,1
CT,2017,0.0,1.4,1
CT,2018,0.0,0.28,1
CT,2019,0.0,1.12,1
CT,2020,0.0,1.4,1
CT,2021,0.0,0.55,1
CT,2022,1.0,0.55,1
CT,2023,1.0,3.04,1
DE,2013,0.0,2.17,0
DE,2014,0.0,3.22,0
DE,2015,0.0,4.25,0
DE,2016,0.0,1.05,0
DE,2017,0.0,7.32,0
DE,2018,0.0,1.04,0
DE,2019,0.0,2.05,0
DE,2020,0.0,2.02,0
DE,2021,0.0,1.99,0
DE,2022,0.0,1.96,0
DE,2023,0.0,4.85,0
FL,2013,0.0,4.55,0
FL,2014,0.0,4.74,0
FL,2015,0.0,3.51,0
FL,2016,0.0,3.49,0
FL,2017,0.0,3.2,0
FL,2018,0.0,3.67,0
FL,2019,0.0,3.26,0
FL,2020,0.0,4.54,0
FL,2021,0.0,2.47,0
